"data/ca4663.tsp"
"data/dj38.tsp"
==================================================
File: "dj38.tsp" (Vertices: 38)
Running Genetic_PMX with 100 iterations...
  Iteracja 37/100 | Cost: 83683 | Time: 28113 ms
  Iteracja 38/100 | Cost: 85526 | Time: 23756 ms
  Iteracja 39/100 | Cost: 85417 | Time: 24376 ms
  Iteracja 40/100 | Cost: 84719 | Time: 24577 ms
  Iteracja 41/100 | Cost: 84796 | Time: 25399 ms
  Iteracja 42/100 | Cost: 84044 | Time: 30882 ms
  Iteracja 43/100 | Cost: 84920 | Time: 24792 ms
  Iteracja 44/100 | Cost: 85145 | Time: 23256 ms
  Iteracja 45/100 | Cost: 84707 | Time: 23903 ms
  Iteracja 46/100 | Cost: 84802 | Time: 30147 ms
  Iteracja 47/100 | Cost: 84616 | Time: 25660 ms
  Iteracja 48/100 | Cost: 85898 | Time: 24147 ms
  Iteracja 49/100 | Cost: 84871 | Time: 24071 ms
  Iteracja 50/100 | Cost: 85332 | Time: 23361 ms
  Iteracja 51/100 | Cost: 83239 | Time: 31335 ms
  Iteracja 52/100 | Cost: 84516 | Time: 23017 ms
  Iteracja 53/100 | Cost: 85104 | Time: 24979 ms
  Iteracja 54/100 | Cost: 85388 | Time: 23463 ms
  Iteracja 55/100 | Cost: 85133 | Time: 25620 ms
  Iteracja 56/100 | Cost: 85729 | Time: 24372 ms
  Iteracja 57/100 | Cost: 85139 | Time: 22782 ms
  Iteracja 58/100 | Cost: 86048 | Time: 26750 ms
  Iteracja 59/100 | Cost: 83924 | Time: 24580 ms
  Iteracja 60/100 | Cost: 85209 | Time: 23871 ms
  Iteracja 61/100 | Cost: 85687 | Time: 26286 ms
  Iteracja 62/100 | Cost: 84982 | Time: 24870 ms
  Iteracja 63/100 | Cost: 85210 | Time: 28345 ms
  Iteracja 64/100 | Cost: 84964 | Time: 24688 ms
  Iteracja 65/100 | Cost: 84861 | Time: 24789 ms
  Iteracja 66/100 | Cost: 84763 | Time: 26882 ms
  Iteracja 67/100 | Cost: 84945 | Time: 21283 ms
  Iteracja 68/100 | Cost: 85829 | Time: 24229 ms
  Iteracja 69/100 | Cost: 85252 | Time: 24333 ms
  Iteracja 70/100 | Cost: 85687 | Time: 26242 ms
  Iteracja 71/100 | Cost: 85728 | Time: 24235 ms
  Iteracja 72/100 | Cost: 84603 | Time: 27454 ms
  Iteracja 73/100 | Cost: 85592 | Time: 25576 ms
  Iteracja 74/100 | Cost: 84592 | Time: 24188 ms
  Iteracja 75/100 | Cost: 84582 | Time: 24742 ms
  Iteracja 76/100 | Cost: 85604 | Time: 24868 ms
  Iteracja 77/100 | Cost: 85740 | Time: 25939 ms
  Iteracja 78/100 | Cost: 83513 | Time: 36747 ms
  Iteracja 79/100 | Cost: 85117 | Time: 27994 ms
  Iteracja 80/100 | Cost: 85162 | Time: 26556 ms
  Iteracja 81/100 | Cost: 84955 | Time: 29205 ms
  Iteracja 82/100 | Cost: 85611 | Time: 22870 ms
  Iteracja 83/100 | Cost: 85908 | Time: 22772 ms
  Iteracja 84/100 | Cost: 84153 | Time: 24915 ms
  Iteracja 85/100 | Cost: 84869 | Time: 24092 ms
  Iteracja 86/100 | Cost: 85596 | Time: 23733 ms
  Iteracja 87/100 | Cost: 86076 | Time: 21621 ms
  Iteracja 88/100 | Cost: 85367 | Time: 22832 ms
  Iteracja 89/100 | Cost: 85297 | Time: 24039 ms
  Iteracja 90/100 | Cost: 84954 | Time: 25620 ms
  Iteracja 91/100 | Cost: 84566 | Time: 30146 ms
  Iteracja 92/100 | Cost: 83219 | Time: 26041 ms
  Iteracja 93/100 | Cost: 85428 | Time: 23085 ms
  Iteracja 94/100 | Cost: 83735 | Time: 29181 ms
  Iteracja 95/100 | Cost: 84800 | Time: 26755 ms
  Iteracja 96/100 | Cost: 84559 | Time: 25305 ms
  Iteracja 97/100 | Cost: 85323 | Time: 24990 ms
  Iteracja 98/100 | Cost: 84418 | Time: 25128 ms
  Iteracja 99/100 | Cost: 84209 | Time: 23886 ms
  Iteracja 100/100 | Cost: 83763 | Time: 31538 ms

Podsumowanie dla "uy734.tsp":
  Algorytm:     Genetic_PMX
  Average Cost: 85009
  Best Cost:    83219
  Saved best solution to: dataSol/uy734Genetic_PMX.sol
"data/wi29.tsp"
==================================================
File: "wi29.tsp" (Vertices: 29)
Running Genetic_PMX with 100 iterations...
  Iteracja 1/100 | Cost: 27603 | Time: 21 ms
  Iteracja 2/100 | Cost: 27603 | Time: 20 ms
  Iteracja 3/100 | Cost: 27603 | Time: 21 ms
  Iteracja 4/100 | Cost: 27603 | Time: 20 ms
  Iteracja 5/100 | Cost: 27603 | Time: 21 ms
  Iteracja 6/100 | Cost: 27603 | Time: 21 ms
  Iteracja 7/100 | Cost: 27603 | Time: 24 ms
  Iteracja 8/100 | Cost: 27603 | Time: 21 ms
  Iteracja 9/100 | Cost: 27603 | Time: 22 ms
  Iteracja 10/100 | Cost: 27603 | Time: 20 ms
  Iteracja 11/100 | Cost: 27603 | Time: 20 ms
  Iteracja 12/100 | Cost: 27603 | Time: 21 ms
  Iteracja 13/100 | Cost: 27603 | Time: 22 ms
  Iteracja 14/100 | Cost: 27603 | Time: 20 ms
  Iteracja 15/100 | Cost: 27603 | Time: 20 ms
  Iteracja 16/100 | Cost: 27603 | Time: 20 ms
  Iteracja 17/100 | Cost: 27603 | Time: 20 ms
  Iteracja 18/100 | Cost: 27603 | Time: 21 ms
  Iteracja 19/100 | Cost: 27603 | Time: 21 ms
  Iteracja 20/100 | Cost: 27603 | Time: 21 ms
  Iteracja 21/100 | Cost: 27603 | Time: 20 ms
  Iteracja 22/100 | Cost: 27603 | Time: 21 ms
  Iteracja 23/100 | Cost: 27603 | Time: 19 ms
  Iteracja 24/100 | Cost: 27603 | Time: 21 ms
  Iteracja 25/100 | Cost: 27603 | Time: 20 ms
  Iteracja 26/100 | Cost: 27603 | Time: 21 ms
  Iteracja 27/100 | Cost: 27603 | Time: 21 ms
  Iteracja 28/100 | Cost: 27603 | Time: 21 ms
  Iteracja 29/100 | Cost: 27603 | Time: 22 ms
  Iteracja 30/100 | Cost: 27603 | Time: 21 ms
  Iteracja 31/100 | Cost: 27603 | Time: 21 ms
  Iteracja 32/100 | Cost: 27603 | Time: 21 ms
  Iteracja 33/100 | Cost: 27603 | Time: 21 ms
  Iteracja 34/100 | Cost: 27603 | Time: 21 ms
  Iteracja 35/100 | Cost: 27603 | Time: 19 ms
  Iteracja 36/100 | Cost: 27603 | Time: 21 ms
  Iteracja 37/100 | Cost: 27603 | Time: 19 ms
  Iteracja 38/100 | Cost: 27603 | Time: 20 ms
  Iteracja 39/100 | Cost: 27603 | Time: 20 ms
  Iteracja 40/100 | Cost: 27603 | Time: 21 ms
  Iteracja 41/100 | Cost: 27603 | Time: 21 ms
  Iteracja 42/100 | Cost: 27603 | Time: 21 ms
  Iteracja 43/100 | Cost: 27603 | Time: 21 ms
